State,Age
Delhi,30
Chandigarh,28
Puducherry,28
Daman and Diu,28
Lakshadweep,28
Bihar,22
West Bengal,32
Kerala,35.1
Uttar Pradesh,24.7
Dadra and Nagar Haveli,28
Haryana,28.5
Tamil Nadu,34.2
Punjab,32
Jharkhand,25.3
Assam,27.4
Goa,28
Maharashtra,31.3
Tripura,28.6
Karnataka,31.4
Andhra Pradesh,32.5
Gujarat,29.3
Orissa,30.2
Madhya Pradesh,26
Rajasthan,25.6
Chhattisgarh,26.9
Meghalaya,28.6
Himachal Pradesh,27.6
Manipur,28.6
Nagaland,28.6
Sikkim,28.6
Jammu and Kashmir,28.4
Mizoram,28.6
Andaman and Nicobar Islands,28
Arunachal Pradesh,28.6