State,per_capita_income
Goa,431351
Sikkim,412754
Delhi,344136
Chandigarh,292977
Karnataka,236451
Haryana,235707
Telangana,231103
Gujarat,212821
Tamil Nadu,212174
Puducherry,206888
Kerala,205067
Maharashtra,193121
Arunachal Pradesh,192360
Himachal Pradesh,183333
Uttarakhand,182698
Andhra Pradesh,176707
Punjab,149894
Mizoram,144394
Nagaland,123385
West Bengal,121267
Tripura,119789
Rajasthan,115933
Chhattisgarh,104943
Madhya Pradesh,104894
Jammu and Kashmir,102803
Odisha,101501
Manipur,87832
Assam,86857
Meghalaya,84638
Jharkhand,71071
Uttar Pradesh,61666
Bihar,43605
Puducherry,209890
Dadra and Nagar Haveli,209890